severity,code,date,match,match_id,detail,source_filename
WARNING,GOAL_MISSING_SCORER,1939-05-07,Brann-Voss 1-2,e1b802b3-09f1-4d5b-8fd9-8f108df461a4,"Mal mangler malscorer. Event #2, minutt 75, type goal.",1939-05-07_brann-voss.json
WARNING,GOAL_MISSING_SCORER,1939-09-17,Brann-Pallas 4-5,e6895870-98d0-48a5-a84d-a343d0de0eac,"Mal mangler malscorer. Event #8, minutt 89, type goal.",1939-09-17_brann-pallas.json
WARNING,GOAL_MISSING_SCORER,1940-08-04,Brann-Hird 6-0,ed25f12b-5062-476d-925b-1a8c32c76c31,"Mal mangler malscorer. Event #4, minutt 82, type ownGoal.",1940-08-04_brann-hird.json
WARNING,GOAL_MISSING_SCORER,1946-06-02,Brann-Florvåg 8-1,u548ocwktfdShAy5KiipnE,"Mal mangler malscorer. Event #0, minutt 8, type ownGoal.",1946-06-02_brann-florvag.json
WARNING,GOAL_MISSING_SCORER,1946-06-02,Brann-Florvåg 8-1,u548ocwktfdShAy5KiipnE,"Mal mangler malscorer. Event #3, minutt 45, type goal.",1946-06-02_brann-florvag.json
WARNING,GOAL_MISSING_SCORER,1947-05-20,Brann-Varegg 0-1,EMlANHgCc3HIanJeffMeEO,"Mal mangler malscorer. Event #0, minutt 20, type goal.",1947-05-20_brann-varegg.json
WARNING,GOAL_MISSING_SCORER,1947-09-06,Voss-Brann 1-3,cH3036guahcFMGAZTGSWJC,"Mal mangler malscorer. Event #3, minutt 49, type goal.",1947-09-06_voss-brann.json
WARNING,GOAL_MISSING_SCORER,1949-04-30,Skeid-Brann 7-1,u548ocwktfdShAy5Kigjtg,"Mal mangler malscorer. Event #2, minutt 25, type goal.",1949-04-30_skeid-brann.json
WARNING,GOAL_MISSING_SCORER,1949-04-30,Skeid-Brann 7-1,u548ocwktfdShAy5Kigjtg,"Mal mangler malscorer. Event #7, minutt 73, type goal.",1949-04-30_skeid-brann.json
WARNING,GOAL_MISSING_SCORER,1949-09-24,Brann-Årstad 2-0,EMlANHgCc3HIanJeffLV6O,"Mal mangler malscorer. Event #1, minutt 69, type ownGoal.",1949-09-24_brann-arstad.json
WARNING,GOAL_MISSING_SCORER,1950-07-02,Lisleby-Brann 2-3,cH3036guahcFMGAZTGPRZO,"Mal mangler malscorer. Event #4, minutt 43, type goal.",1950-07-02_lisleby-brann.json
WARNING,GOAL_MISSING_SCORER,1954-06-19,Brann-Nymark 3-1,u548ocwktfdShAy5KifDgO,"Mal mangler malscorer. Event #3, minutt 89, type goal.",1954-06-19_brann-nymark.json
WARNING,GOAL_MISSING_SCORER,1954-07-25,Lillestrøm-Brann 6-2,cH3036guahcFMGAZTGNKFC,"Mal mangler malscorer. Event #7, minutt 88, type ownGoal.",1954-07-25_lsk-brann.json
WARNING,GOAL_MISSING_SCORER,1958-08-10,Varegg-Brann 0-4,cH3036guahcFMGAZTGL74g,"Mal mangler malscorer. Event #2, minutt 70, type ownGoal.",1958-08-10_varegg-brann.json
WARNING,GOAL_MISSING_SCORER,1962-04-29,Fredrikstad-Brann 6-3,cH3036guahcFMGAZTFVZLa,"Mal mangler malscorer. Event #3, minutt 37, type ownGoal.",1962-04-29_fredrikstad-brann.json
WARNING,GOAL_MISSING_SCORER,1962-06-07,Varegg-Brann 2-4,EMlANHgCc3HIanJefeufz0,"Mal mangler malscorer. Event #5, minutt 85, type goal.",1962-06-07_varegg-brann.json
WARNING,GOAL_MISSING_SCORER,1968-07-08,Vigør-Brann 1-3,81a2cfac-f4bd-47a8-9d16-054aed8e2c28,"Mal mangler malscorer. Event #0, minutt 20, type ownGoal.",1968-07-08_vigor-brann.json
WARNING,GOAL_MISSING_SCORER,1972-10-11,Sarpsborg FK-Brann 0-2,84789a05-06a5-4975-b329-9c25238ab068,"Mal mangler malscorer. Event #0, minutt 37, type ownGoal.",1972-10-11_sarpsborg-fk-brann.json
WARNING,GOAL_MISSING_SCORER,1974-05-19,Brann-Start 2-2,1a49aff3-7045-53e5-b138-36c9acd6b64e,"Mal mangler malscorer. Event #4, minutt 80, type ownGoal.",1974-05-19_brann-start.json
